mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes,sumo_perc_time,agents_perc_time,total_load
multi_agent_1,21100820_21100908,4420.83,73.68,3295.78,54.93,1029.62,17.16,0.75,0.23,457524.0
multi_agent_1,21101008_21101009,239.55,3.99,107.19,1.79,114.07,1.9,0.45,0.48,40323.0
multi_agent_1,21101008_21101011,718.33,11.97,400.13,6.67,276.3,4.61,0.56,0.38,141764.0
multi_agent_1,21101008_21101014,1412.44,23.54,926.92,15.45,426.41,7.11,0.66,0.3,308729.0
multi_agent_1,21101008_21101020,3603.56,60.06,2502.13,41.7,993.53,16.56,0.69,0.28,655463.0
multi_agent_1,21101020_21101021,195.52,3.26,136.85,2.28,50.86,0.85,0.7,0.26,45049.0
multi_agent_1,21101020_21101023,557.29,9.29,387.13,6.45,149.8,2.5,0.69,0.27,120670.0
multi_agent_1,21101020_21101102,934.19,15.57,652.43,10.87,254.19,4.24,0.7,0.27,165678.0
multi_agent_1,21101020_21101108,2837.94,47.3,2263.43,37.72,531.24,8.85,0.8,0.19,339022.0
multi_agent_1,21111008_21111009,412.73,6.88,193.99,3.23,217.66,3.63,0.47,0.53,67432.0
multi_agent_1,21111008_21111011,1432.47,23.87,890.08,14.83,539.13,8.99,0.62,0.38,206736.0
multi_agent_1,21111008_21111014,3008.98,50.15,2191.41,36.52,813.85,13.56,0.73,0.27,408777.0
multi_agent_1,21111008_21111020,5799.62,96.66,4306.54,71.78,1352.9,22.55,0.74,0.23,861266.0
multi_agent_1,21111020_21111021,360.09,6.0,245.81,4.1,99.57,1.66,0.68,0.28,60591.0
multi_agent_1,21111020_21111023,1021.07,17.02,715.12,11.92,269.91,4.5,0.7,0.26,174919.0
multi_agent_1,21111020_21111102,2075.95,34.6,1549.37,25.82,474.52,7.91,0.75,0.23,258148.0
multi_agent_1,21111020_21111108,3131.3,52.19,1948.58,32.48,817.15,13.62,0.62,0.26,295636.0
multi_agent_1,21111208_21111209,570.58,9.51,298.69,4.98,233.02,3.88,0.52,0.41,70654.0
multi_agent_1,21111208_21111211,1277.2,21.29,826.75,13.78,390.84,6.51,0.65,0.31,212170.0
multi_agent_1,21111208_21111214,2338.41,38.97,1675.19,27.92,585.35,9.76,0.72,0.25,408551.0
multi_agent_1,21111208_21111220,6130.52,102.18,4573.04,76.22,1413.5,23.56,0.75,0.23,873615.0
multi_agent_1,21111220_21111221,380.52,6.34,223.07,3.72,135.42,2.26,0.59,0.36,66702.0
multi_agent_1,21111220_21111223,1155.12,19.25,734.09,12.23,369.11,6.15,0.64,0.32,194702.0
multi_agent_1,21111220_21111302,2327.23,38.79,1546.59,25.78,697.42,11.62,0.66,0.3,318580.0
multi_agent_1,21111220_21111308,5045.31,84.09,3918.51,65.31,1028.33,17.14,0.78,0.2,454786.0
multi_agent_1,21111408_21111409,217.55,3.63,100.58,1.68,99.84,1.66,0.46,0.46,40167.0
multi_agent_1,21111408_21111411,677.37,11.29,390.37,6.51,257.54,4.29,0.58,0.38,145186.0
multi_agent_1,21111408_21111414,1432.32,23.87,960.97,16.02,426.84,7.11,0.67,0.3,313386.0
multi_agent_1,21111408_21111420,3523.64,58.73,2456.85,40.95,961.49,16.02,0.7,0.27,665217.0
multi_agent_1,21111420_21111421,202.61,3.38,137.65,2.29,55.98,0.93,0.68,0.28,45635.0
