vehicle_id;origin_edge_id;origin_taz_id;destination_edge_id;destination_taz_id;origin_starting_time
228;133376114#3;348;713493922;349;2021-06-25 20:00:35
229;414359349#0;406;983283669;409;2021-06-25 20:00:35
230;-619979101;684;-398664215;687;2021-06-25 20:00:36
231;414359349#0;406;225516729#0;407;2021-06-25 20:00:36
232;512038661;620;417087368;622;2021-06-25 20:00:36
233;143617587;657;158804432;660;2021-06-25 20:00:36
234;254396713#0;321;398675753#0;318;2021-06-25 20:00:37
235;-681402367;550;32929422;553;2021-06-25 20:00:37
236;-E68;930;396952203#0;927;2021-06-25 20:00:37
237;-417000954;830;-331111652#0;831;2021-06-25 20:00:37
238;945294690#0;592;-24335439#0;591;2021-06-25 20:00:37
239;414359349#0;406;-133743897#11;408;2021-06-25 20:00:37
240;396968567#0;686;-286003784;687;2021-06-25 20:00:37
241;513704174#0;666;24306388;668;2021-06-25 20:00:38
242;-8918149;109;255351732#0;111;2021-06-25 20:00:38
243;255351715#0;494;437552470#0;495;2021-06-25 20:00:38
244;27023069#0;491;397084138#0;490;2021-06-25 20:00:38
245;619568427;429;89812521#0;430;2021-06-25 20:00:38
246;681183500#0;376;254297752;377;2021-06-25 20:00:38
247;-28738271#1;818;28738271#1;818;2021-06-25 20:00:38
248;479850694#0;844;148902182#2;845;2021-06-25 20:00:39
249;8918969#0;535;8918969#1;535;2021-06-25 20:00:39
250;88597563#0;774;417099307#0;775;2021-06-25 20:00:39
251;-152906274;535;254760012#1;538;2021-06-25 20:00:39
252;99231463#0;780;680402692;777;2021-06-25 20:00:40
253;-E14;740;47172460#0;740;2021-06-25 20:00:40
254;619979115;938;E14;941;2021-06-25 20:00:40
255;8918969#0;535;-27043782;535;2021-06-25 20:00:40
256;159766611;46;1065793153;46;2021-06-25 20:00:40
257;1024537343;684;233201263#0;683;2021-06-25 20:00:40
258;158804438;675;396950820;676;2021-06-25 20:00:40
259;254984075#0;8;286434721#7;9;2021-06-25 20:00:40
260;27023069#0;491;-255351723#0;494;2021-06-25 20:00:40
261;414359349#0;406;27019884#5;409;2021-06-25 20:00:41
262;133733597;263;-779335063;265;2021-06-25 20:00:42
263;514488599#0;230;120257661#1;229;2021-06-25 20:00:42
264;414359349#0;406;983283669;409;2021-06-25 20:00:42
265;-27050841#1;345;945294688;343;2021-06-25 20:00:42
266;680783343#0;428;310458110;431;2021-06-25 20:00:42
267;619568427;429;-28572434#1;431;2021-06-25 20:00:43
268;-255178075#1;454;89812411#1;451;2021-06-25 20:00:43
269;254396720#0;6;-8919408;4;2021-06-25 20:00:44
270;85644955#0;383;-85562483#2;380;2021-06-25 20:00:44
271;85644955#0;383;-85562483#1;380;2021-06-25 20:00:44
272;224200968#0;806;8916867;803;2021-06-25 20:00:44
273;256400251#0;774;27571801#0;777;2021-06-25 20:00:44
274;143617587;657;99278918#0;659;2021-06-25 20:00:45
275;-204884397#1;744;-228196396#1;742;2021-06-25 20:00:45
276;-E14;740;1021093206;743;2021-06-25 20:00:45
277;414359349#0;406;397094082;409;2021-06-25 20:00:45
278;414359349#0;406;-133743897#0;408;2021-06-25 20:00:45
279;514598267#0;565;112470382#2;563;2021-06-25 20:00:45
280;414359349#0;406;8918887#3;409;2021-06-25 20:00:45
281;27183379#1;539;254759931#1;538;2021-06-25 20:00:45
282;27145835#1;46;1059809667;43;2021-06-25 20:00:45
283;512038661;620;-87231622#0;617;2021-06-25 20:00:45
284;414359349#0;406;27044185#0;406;2021-06-25 20:00:46
285;143617587;657;396947822;660;2021-06-25 20:00:46
286;-206629822;364;-87376660#1;364;2021-06-25 20:00:46
287;1124361285#0;598;397120203;597;2021-06-25 20:00:46
288;133434960#2;127;-133434960#4;127;2021-06-25 20:00:46
289;-254299728#0;158;-397077794#1;155;2021-06-25 20:00:46
290;417099307#0;775;8922263#0;778;2021-06-25 20:00:47
291;-681660476;729;-254466687#0;729;2021-06-25 20:00:47
292;224373758#3;1;-123660737;3;2021-06-25 20:00:47
293;285975137#2;48;-243834647#1;46;2021-06-25 20:00:47
294;-681660476;729;396959342#0;729;2021-06-25 20:00:47
295;E39.13;621;396947817;624;2021-06-25 20:00:47
296;8921866;746;406944767#0;745;2021-06-25 20:00:47
297;255170249;483;225516709#2;484;2021-06-25 20:00:48
298;-682768769;492;397077938;495;2021-06-25 20:00:48
299;513704174#0;666;8922962#0;663;2021-06-25 20:00:48
300;27028349#0;104;-361615805;101;2021-06-25 20:00:48
301;-155373677#0;88;123867420#1;87;2021-06-25 20:00:48
302;-255351746#0;111;255170266#0;109;2021-06-25 20:00:49
303;414359349#0;406;225516719;406;2021-06-25 20:00:49
304;-620247387#2;277;396950823;280;2021-06-25 20:00:49
305;-681402367;550;-437558276#0;551;2021-06-25 20:00:50
306;678038618;46;442153004;43;2021-06-25 20:00:50
307;E39.13;621;399138117#0;619;2021-06-25 20:00:50
308;-E14;740;417400734#0;743;2021-06-25 20:00:50
309;-204884397#1;744;-228196396#1;742;2021-06-25 20:00:50
310;-204884397#1;744;29023785#0;747;2021-06-25 20:00:50
311;30029172#3;348;-85644919#11;349;2021-06-25 20:00:50
312;225853142#0;584;86289465#0;587;2021-06-25 20:00:51
313;162799061#2;584;514656308#0;582;2021-06-25 20:00:52
314;255178136#1;2;-224373760#1;1;2021-06-25 20:00:52
315;256400244#0;781;397148935;778;2021-06-25 20:00:52
316;204884121#0;296;475253863;298;2021-06-25 20:00:52
317;27019884#5;409;-133743897#1;408;2021-06-25 20:00:52
318;89802439#0;501;-737961441;503;2021-06-25 20:00:52
319;-E14;740;619979116;742;2021-06-25 20:00:52
320;-28575530#0;226;8919071;227;2021-06-25 20:00:52
321;-406580282#1;364;-28738271#0;367;2021-06-25 20:00:52
322;-283523313#0;521;397264559#0;522;2021-06-25 20:00:52
323;-772926388;223;48959762;226;2021-06-25 20:00:52
324;243834647#0;38;254968943#4;41;2021-06-25 20:00:53
325;-204884121#1;667;850242478#1;665;2021-06-25 20:00:53
326;254750503#0;48;285975137#0;48;2021-06-25 20:00:53
327;527829975#0;342;25372932#4;341;2021-06-25 20:00:53
328;8918969#0;535;254760012#1;538;2021-06-25 20:00:53
329;-970291440;124;-133434960#3;127;2021-06-25 20:00:53
330;945294690#0;592;-86331246;594;2021-06-25 20:00:53
331;414359349#0;406;-8921588;403;2021-06-25 20:00:53
332;414359349#0;406;-283527469;406;2021-06-25 20:00:53
333;-204884121#1;667;43100743#0;666;2021-06-25 20:00:53
334;414359349#0;406;-469387974#0;408;2021-06-25 20:00:53
335;414359349#0;406;680437117#0;406;2021-06-25 20:00:53
336;204884397#0;935;619979115;938;2021-06-25 20:00:54
337;503825191#0;122;311430148#2;122;2021-06-25 20:00:54
338;680402692;807;-88463831#3;808;2021-06-25 20:00:54
339;254299130#5;57;514614748#0;56;2021-06-25 20:00:54
340;-8915843#1;324;585655708#0;325;2021-06-25 20:00:54
341;217621104;206;254750820#2;205;2021-06-25 20:00:54
342;396985372#0;76;397136359#0;78;2021-06-25 20:00:54
343;359898620#0;828;254984058#0;825;2021-06-25 20:00:54
344;-204884397#1;744;397144265#0;743;2021-06-25 20:00:55
345;-225847529#1;836;8917406#2;837;2021-06-25 20:00:55
346;-619979101;679;-26940502#9;676;2021-06-25 20:00:55
347;255166630#0;410;-108195531#0;408;2021-06-25 20:00:56
348;8918853;688;396988232;688;2021-06-25 20:00:56
349;-706542863#0;592;261517388;590;2021-06-25 20:00:56
350;255178116#7;50;255178116#5;50;2021-06-25 20:00:56
351;414359349#0;406;220137959;404;2021-06-25 20:00:57
352;414359349#0;406;8917189#1;403;2021-06-25 20:00:57
353;414359349#0;406;108195533;408;2021-06-25 20:00:57
354;414359349#0;406;-133743897#6;408;2021-06-25 20:00:57
355;8916887;967;-397028726#1;964;2021-06-25 20:00:58
356;1084290107#0;853;-143666208#2;852;2021-06-25 20:00:58
357;513704174#0;666;488350036#0;669;2021-06-25 20:00:58
358;396962029#0;289;-396964578;288;2021-06-25 20:00:58
359;-204884121#1;667;417396782#0;664;2021-06-25 20:00:58
360;255351711#3;227;-398994088#1;227;2021-06-25 20:01:00
361;E39.13;621;254453305;624;2021-06-25 20:01:00
362;-E14;740;-228196396#1;742;2021-06-25 20:01:00
363;-228196396#1;742;397145820#0;745;2021-06-25 20:01:00
364;133856350#3;24;397115308#3;27;2021-06-25 20:01:00
365;8939343#2;2;-8919408;4;2021-06-25 20:01:00
366;681499271#0;927;-396960685#1;929;2021-06-25 20:01:00
367;108194452#0;62;27434420#0;65;2021-06-25 20:01:00
368;-254297760;689;-133856274;687;2021-06-25 20:01:00
369;143666212#0;853;619535770#0;853;2021-06-25 20:01:00
370;414359349#0;406;-8918887#4;408;2021-06-25 20:01:01
371;397153595#0;773;425516617#4;771;2021-06-25 20:01:01
372;414359349#0;406;-133743897#8;408;2021-06-25 20:01:01
373;228186482#0;950;397269728#0;947;2021-06-25 20:01:01
374;414359349#0;406;220137959;404;2021-06-25 20:01:02
375;254466687#1;728;680243316#0;728;2021-06-25 20:01:02
376;27145608#0;107;-8917166#4;105;2021-06-25 20:01:02
377;681183500#0;376;-399156531#1;376;2021-06-25 20:01:02
378;285975137#2;48;-678038618;46;2021-06-25 20:01:02
379;E39.13;621;88572887#2;620;2021-06-25 20:01:02
380;-225806042#1;667;-111547662#1;667;2021-06-25 20:01:03
381;-225806042#1;667;1111763682#0;664;2021-06-25 20:01:03
382;1021093206;743;88572948#0;743;2021-06-25 20:01:04
383;-E14;740;8917453;740;2021-06-25 20:01:04
384;204884397#0;931;417392943#0;929;2021-06-25 20:01:04
385;619590729;324;224200963#1;324;2021-06-25 20:01:04
386;-8916919#1;445;-8921309;443;2021-06-25 20:01:04
387;225516716#1;406;680437117#0;406;2021-06-25 20:01:04
388;-E14;740;474100981#1;738;2021-06-25 20:01:05
389;619979116;742;-619979114;742;2021-06-25 20:01:05
390;-682556741;192;224384022;189;2021-06-25 20:01:05
391;27044189#1;428;283526864#0;429;2021-06-25 20:01:05
392;414359349#0;406;1154171396;403;2021-06-25 20:01:05
393;414359349#0;406;123867456;408;2021-06-25 20:01:05
394;619568411#1;158;-417389551;157;2021-06-25 20:01:06
395;255330047#0;657;26786641#0;655;2021-06-25 20:01:06
396;-422638702;236;-8917359#0;234;2021-06-25 20:01:06
397;254982315;530;-1178379357#13;533;2021-06-25 20:01:06
398;414359349#0;406;-680437116;406;2021-06-25 20:01:06
399;-774686752#2;221;514606955;224;2021-06-25 20:01:07
400;397113424#0;104;-27145608#2;104;2021-06-25 20:01:07
401;681499271#0;927;-682475680;924;2021-06-25 20:01:07
402;-28952785#1;62;397138674#0;65;2021-06-25 20:01:07
403;255351715#0;494;683423171#0;492;2021-06-25 20:01:07
404;681499271#0;927;1120887426;925;2021-06-25 20:01:07
405;688508137#0;667;860937368;669;2021-06-25 20:01:08
406;283529417#0;76;-108194449#8;75;2021-06-25 20:01:08
407;37555378#0;46;-682775801;46;2021-06-25 20:01:08
408;-772926388;223;191297197#4;221;2021-06-25 20:01:08
409;-225806041;667;449201857#0;666;2021-06-25 20:01:08
410;254299137;12;-513965164;10;2021-06-25 20:01:09
411;8918969#0;535;254760012#1;538;2021-06-25 20:01:09
412;414359349#0;406;225516716#1;406;2021-06-25 20:01:09
413;682762590;430;225516714#0;428;2021-06-25 20:01:09
414;772972816;751;513701212#0;749;2021-06-25 20:01:09
415;772972816;751;513701212#0;749;2021-06-25 20:01:09
416;396947816;675;-26940502#9;676;2021-06-25 20:01:09
417;414359349#0;406;1087411662;403;2021-06-25 20:01:09
418;-108195533;408;8919725#1;411;2021-06-25 20:01:10
419;283512618#0;809;8922560#0;809;2021-06-25 20:01:10
420;397148787#0;394;27434814;396;2021-06-25 20:01:10
421;148902182#2;845;1090200058;843;2021-06-25 20:01:10
422;680402692;807;88463826#1;808;2021-06-25 20:01:10
423;414359349#0;406;283527456#0;407;2021-06-25 20:01:11
424;619590729;324;224200972#0;325;2021-06-25 20:01:11
425;255178136#1;16;48199228#0;15;2021-06-25 20:01:11
426;8917043#6;189;397125834#0;189;2021-06-25 20:01:11
427;133434960#3;127;254759976#4;130;2021-06-25 20:01:12
428;28843615#0;782;425516615;783;2021-06-25 20:01:12
429;224373752#0;591;8921645;590;2021-06-25 20:01:12
430;224384059#0;632;254305033#0;630;2021-06-25 20:01:12
431;254982306;122;503825191#0;122;2021-06-25 20:01:13
432;-620247387#1;277;-737989362;275;2021-06-25 20:01:14
433;-152906274;535;-1178379357#13;533;2021-06-25 20:01:14
434;-1216148105#0;112;-225516718#3;113;2021-06-25 20:01:14
435;-228186482#1;773;1076419799#0;773;2021-06-25 20:01:15
436;414359349#0;406;-469387976#1;408;2021-06-25 20:01:15
437;414359349#0;406;23925246;409;2021-06-25 20:01:15
438;-255351719#1;246;8918884#1;247;2021-06-25 20:01:15
439;254466693#0;303;84733283#0;301;2021-06-25 20:01:16
440;414359349#0;406;396983467#0;407;2021-06-25 20:01:16
441;-51392400;685;527829944#0;683;2021-06-25 20:01:16
442;-204884397#1;935;228196396#0;938;2021-06-25 20:01:16
443;-681758074;889;-254968947#0;890;2021-06-25 20:01:16
444;469105569#5;44;442153004;43;2021-06-25 20:01:16
445;-225516694;137;27028514;137;2021-06-25 20:01:16
446;-706542863#0;592;23959829#0;591;2021-06-25 20:01:17
447;E39.13;621;91181771#4;623;2021-06-25 20:01:17
