mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error,difference_pickup,difference_dropoff
social_groups_1,21111020_21111023,125439,33562,33594,107278,31797,31802,14.48,5.26,5.33,1709,0.17,0.25,56,83
social_groups_1,21111020_21111102,195418,49972,50046,158930,47988,47998,18.67,3.97,4.09,1944,0.08,0.21,40,104
social_groups_1,21111020_21111108,195418,67114,67218,161554,65051,65071,17.33,3.07,3.19,2006,0.08,0.21,57,141
social_groups_1,21111208_21111209,58636,9714,9695,50970,7535,7539,13.07,22.43,22.24,2134,0.46,0.23,45,22
social_groups_1,21111208_21111211,177567,27096,27078,158293,24174,24185,10.85,10.78,10.68,2789,0.49,0.38,133,104
social_groups_1,21111208_21111214,348247,48296,48277,314719,45371,45392,9.63,6.06,5.98,2721,0.42,0.34,204,164
social_groups_1,21111208_21111220,694910,119378,119359,639663,115541,115570,7.95,3.21,3.17,3299,0.45,0.41,538,490
social_groups_1,21111220_21111221,43356,15829,15835,35082,13441,13444,19.08,15.09,15.1,2356,0.2,0.22,32,35
social_groups_1,21111220_21111223,125335,45341,45322,104503,42610,42623,16.62,6.02,5.96,2591,0.31,0.24,140,108
social_groups_1,21111220_21111302,194548,84455,84454,150775,81752,81770,22.5,3.2,3.18,2445,0.31,0.28,258,239
social_groups_1,21111220_21111308,336102,99868,99848,257336,96539,96563,23.44,3.33,3.29,3045,0.28,0.24,284,240
social_groups_1,21111408_21111409,40950,3423,3429,33266,2511,2512,18.76,26.64,26.74,911,0.03,0.17,1,6
social_groups_1,21111408_21111411,133077,14758,14786,115866,12655,12658,12.93,14.25,14.39,2089,0.09,0.26,14,39
social_groups_1,21111408_21111414,270378,37323,37366,239929,35206,35220,11.26,5.67,5.74,2046,0.19,0.27,71,100
social_groups_1,21111408_21111420,540728,90065,90123,485388,87756,87776,10.23,2.56,2.6,2121,0.21,0.25,188,226
social_groups_1,21111420_21111421,37178,7631,7624,30256,6901,6902,18.62,9.57,9.47,705,0.33,0.22,25,17
social_groups_1,21111420_21111423,99040,20676,20671,80971,19757,19762,18.24,4.44,4.4,850,0.33,0.29,69,59
social_groups_1,21111420_21111502,152936,27909,27912,116101,26959,26962,24.09,3.4,3.4,889,0.22,0.22,61,61
social_groups_1,21111420_21111508,324522,41386,41344,258850,39846,39851,20.24,3.72,3.61,1409,0.32,0.2,131,84
social_groups_2,21062308_21062309,12143,9660,9662,10587,7165,7166,12.81,25.83,25.83,2493,0.02,0.03,2,3
social_groups_2,21062308_21062311,41544,25666,25701,37532,21999,22006,9.66,14.29,14.38,3660,0.03,0.14,7,35
social_groups_2,21062308_21062314,80013,45475,45522,75568,40579,40598,5.56,10.77,10.82,4873,0.05,0.11,23,51
social_groups_2,21062308_21062320,164796,109363,109427,159124,101659,101681,3.44,7.04,7.08,7681,0.02,0.06,23,65
social_groups_2,21062320_21062321,20567,12084,12094,15721,9808,9808,23.56,18.83,18.9,2276,0.0,0.08,0,10
social_groups_2,21062320_21062323,48298,33562,33594,36175,30003,30011,25.1,10.6,10.67,3551,0.02,0.1,8,32
social_groups_2,21062320_21062402,83891,49972,50046,53072,44146,44155,36.74,11.66,11.77,5817,0.02,0.15,9,74
social_groups_2,21062320_21062408,166911,67114,67218,130800,58742,58750,21.63,12.47,12.6,8364,0.01,0.15,8,104
social_groups_2,21062508_21062509,12340,9714,9695,10924,7370,7372,11.47,24.13,23.96,2341,0.03,0.19,3,-18
social_groups_2,21062508_21062511,45495,27096,27078,41458,23375,23384,8.87,13.73,13.64,3712,0.03,0.07,9,-18
social_groups_2,21062508_21062514,90456,48296,48277,86484,43665,43688,4.39,9.59,9.51,4607,0.05,0.04,24,-18
social_groups_2,21062508_21062520,186808,119378,119359,181750,109784,109806,2.71,8.04,8.0,9568,0.02,0.01,26,-15
social_groups_2,21062520_21062521,14716,15829,15835,12629,12704,12707,14.18,19.74,19.75,3121,0.03,0.04,4,7
social_groups_2,21062520_21062523,35240,45341,45322,30018,40576,40585,14.82,10.51,10.45,4752,0.03,0.03,13,-15
social_groups_2,21062520_21062602,61157,84455,84454,45581,76569,76581,25.47,9.34,9.32,7872,0.02,0.0,14,1
social_groups_2,21062520_21062608,155191,99868,99848,130301,89693,89706,16.04,10.19,10.16,10158,0.02,0.02,17,-16
social_groups_2,21062708_21062709,37607,3423,3429,32967,2337,2337,12.34,31.73,31.85,1085,0.03,0.2,1,7
social_groups_2,21062708_21062711,121361,14758,14786,108235,12423,12425,10.82,15.82,15.97,2332,0.02,0.2,3,29
